txn_id,accm_txn_complete_time
1,2024-05-16 00:00:00
2,2024-10-17 00:00:00
3,2024-05-09 00:00:00
4,2024-12-25 00:00:00
5,2024-08-23 00:00:00
6,2024-07-28 00:00:00
7,2024-09-03 00:00:00
8,2024-10-11 00:00:00
9,2024-05-25 00:00:00
10,2024-04-10 00:00:00
11,2024-04-10 00:00:00
12,2024-10-31 00:00:00
13,2024-02-25 00:00:00
14,2024-04-06 00:00:00
15,2024-05-27 00:00:00
16,2024-12-28 00:00:00
17,2024-01-13 00:00:00
18,2024-08-18 00:00:00
19,2024-09-07 00:00:00
20,2024-02-10 00:00:00
21,2024-03-25 00:00:00
22,2024-05-14 00:00:00
23,2024-09-29 00:00:00
24,2024-11-03 00:00:00
25,2024-11-11 00:00:00
26,2024-05-22 00:00:00
27,2024-04-03 00:00:00
28,2024-08-01 00:00:00
29,2024-06-03 00:00:00
30,2024-12-29 00:00:00
31,2024-05-17 00:00:00
32,2024-08-10 00:00:00
33,2024-05-23 00:00:00
34,2024-06-09 00:00:00
35,2024-08-14 00:00:00
36,2024-12-30 00:00:00
37,2024-08-15 00:00:00
38,2024-06-17 00:00:00
39,2024-04-29 00:00:00
40,2024-12-13 00:00:00
41,2024-09-01 00:00:00
42,2024-04-08 00:00:00
43,2024-02-21 00:00:00
44,2024-06-17 00:00:00
45,2024-08-04 00:00:00
46,2024-10-10 00:00:00
47,2024-05-14 00:00:00
48,2024-12-08 00:00:00
49,2024-04-10 00:00:00
50,2024-11-21 00:00:00
51,2024-05-22 00:00:00
52,2024-12-29 00:00:00
53,2025-01-03 00:00:00
54,2024-10-16 00:00:00
55,2024-08-30 00:00:00
56,2024-06-02 00:00:00
57,2024-09-10 00:00:00
58,2024-07-20 00:00:00
59,2024-02-08 00:00:00
60,2024-09-22 00:00:00
61,2024-11-03 00:00:00
62,2024-08-21 00:00:00
63,2024-10-12 00:00:00
64,2024-06-18 00:00:00
65,2024-05-02 00:00:00
66,2024-09-04 00:00:00
67,2024-09-14 00:00:00
68,2024-02-26 00:00:00
69,2024-01-12 00:00:00
70,2024-02-11 00:00:00
71,2024-12-04 00:00:00
72,2024-06-15 00:00:00
73,2024-11-14 00:00:00
74,2024-05-01 00:00:00
75,2024-11-27 00:00:00
76,2024-12-25 00:00:00
77,2024-02-03 00:00:00
78,2024-03-22 00:00:00
79,2024-04-02 00:00:00
80,2024-11-17 00:00:00
81,2024-05-02 00:00:00
82,2024-05-16 00:00:00
83,2024-12-16 00:00:00
84,2024-06-30 00:00:00
85,2024-12-25 00:00:00
86,2024-07-22 00:00:00
87,2024-10-26 00:00:00
88,2024-01-14 00:00:00
89,2024-10-21 00:00:00
90,2024-11-13 00:00:00
91,2024-11-08 00:00:00
92,2024-11-19 00:00:00
93,2024-11-23 00:00:00
94,2024-06-14 00:00:00
95,2024-03-14 00:00:00
96,2024-04-04 00:00:00
97,2024-10-05 00:00:00
98,2024-09-08 00:00:00
99,2024-09-02 00:00:00
100,2024-10-19 00:00:00
101,2024-05-22 00:00:00
102,2024-12-12 00:00:00
103,2024-11-28 00:00:00
104,2024-09-02 00:00:00
105,2024-11-12 00:00:00
106,2024-12-27 00:00:00
107,2024-03-19 00:00:00
108,2024-03-07 00:00:00
109,2024-07-22 00:00:00
110,2024-11-03 00:00:00
111,2024-12-03 00:00:00
112,2024-05-30 00:00:00
113,2024-08-18 00:00:00
114,2024-12-24 00:00:00
115,2024-02-04 00:00:00
116,2024-08-22 00:00:00
117,2024-01-29 00:00:00
118,2024-02-10 00:00:00
119,2024-05-03 00:00:00
120,2024-05-28 00:00:00
121,2024-04-06 00:00:00
122,2024-01-15 00:00:00
123,2024-01-16 00:00:00
124,2024-08-06 00:00:00
125,2024-09-05 00:00:00
126,2024-08-26 00:00:00
127,2024-12-05 00:00:00
128,2024-02-07 00:00:00
129,2024-09-12 00:00:00
130,2024-06-15 00:00:00
131,2024-05-26 00:00:00
132,2024-07-16 00:00:00
133,2024-09-19 00:00:00
134,2024-12-03 00:00:00
135,2024-08-13 00:00:00
136,2024-08-23 00:00:00
137,2024-06-13 00:00:00
138,2024-07-14 00:00:00
139,2024-02-21 00:00:00
140,2024-07-14 00:00:00
141,2024-12-11 00:00:00
142,2024-02-01 00:00:00
143,2024-02-25 00:00:00
144,2024-12-05 00:00:00
145,2024-10-17 00:00:00
146,2024-08-13 00:00:00
147,2024-11-09 00:00:00
148,2024-04-04 00:00:00
149,2024-07-05 00:00:00
150,2024-02-07 00:00:00
151,2024-02-23 00:00:00
152,2024-08-06 00:00:00
153,2024-06-14 00:00:00
154,2024-02-02 00:00:00
