FarmerID,OrganicCertificationStatus,UpdateDate
1,Non-Certified,2024-01-15
1,Pending,2024-06-15
1,Certified,2024-11-15
2,Non-Certified,2024-01-15
2,Pending,2024-06-15
2,Certified,2024-11-15
3,Certified,2024-01-15
3,Non-Certified,2024-06-15
3,Certified,2024-11-15
4,Certified,2024-01-15
4,Non-Certified,2024-06-15
4,Certified,2024-11-15
5,Non-Certified,2024-01-15
5,Pending,2024-06-15
5,Certified,2024-11-15
6,Pending,2024-01-15
6,Certified,2024-06-15
7,Certified,2024-01-15
7,Non-Certified,2024-06-15
7,Certified,2024-11-15
8,Non-Certified,2024-01-15
8,Pending,2024-06-15
8,Certified,2024-11-15
9,Non-Certified,2024-01-15
9,Pending,2024-06-15
9,Certified,2024-11-15
10,Non-Certified,2024-01-15
10,Pending,2024-06-15
10,Certified,2024-11-15
11,Pending,2024-01-15
11,Certified,2024-06-15
12,Non-Certified,2024-01-15
12,Pending,2024-06-15
12,Certified,2024-11-15
13,Certified,2024-01-15
13,Non-Certified,2024-06-15
13,Certified,2024-11-15
14,Certified,2024-01-15
14,Non-Certified,2024-06-15
14,Certified,2024-11-15
15,Pending,2024-01-15
15,Certified,2024-06-15
16,Certified,2024-01-15
16,Non-Certified,2024-06-15
16,Certified,2024-11-15
17,Pending,2024-01-15
17,Certified,2024-06-15
18,Pending,2024-01-15
18,Certified,2024-06-15
19,Pending,2024-01-15
19,Certified,2024-06-15
20,Certified,2024-01-15
20,Non-Certified,2024-06-15
20,Certified,2024-11-15
21,Non-Certified,2024-01-15
21,Pending,2024-06-15
21,Certified,2024-11-15
22,Pending,2024-01-15
22,Certified,2024-06-15
23,Pending,2024-01-15
23,Certified,2024-06-15
24,Non-Certified,2024-01-15
24,Pending,2024-06-15
24,Certified,2024-11-15
25,Pending,2024-01-15
25,Certified,2024-06-15
26,Non-Certified,2024-01-15
26,Pending,2024-06-15
26,Certified,2024-11-15
27,Non-Certified,2024-01-15
27,Pending,2024-06-15
27,Certified,2024-11-15
28,Pending,2024-01-15
28,Certified,2024-06-15
29,Certified,2024-01-15
29,Non-Certified,2024-06-15
29,Certified,2024-11-15
30,Pending,2024-01-15
30,Certified,2024-06-15
31,Non-Certified,2024-01-15
31,Pending,2024-06-15
31,Certified,2024-11-15
32,Certified,2024-01-15
32,Non-Certified,2024-06-15
32,Certified,2024-11-15
33,Certified,2024-01-15
33,Non-Certified,2024-06-15
33,Certified,2024-11-15
34,Non-Certified,2024-01-15
34,Pending,2024-06-15
34,Certified,2024-11-15
35,Non-Certified,2024-01-15
35,Pending,2024-06-15
35,Certified,2024-11-15
36,Non-Certified,2024-01-15
36,Pending,2024-06-15
36,Certified,2024-11-15
37,Non-Certified,2024-01-15
37,Pending,2024-06-15
37,Certified,2024-11-15
38,Pending,2024-01-15
38,Certified,2024-06-15
39,Non-Certified,2024-01-15
39,Pending,2024-06-15
39,Certified,2024-11-15
40,Certified,2024-01-15
40,Non-Certified,2024-06-15
40,Certified,2024-11-15
41,Certified,2024-01-15
41,Non-Certified,2024-06-15
41,Certified,2024-11-15
42,Certified,2024-01-15
42,Non-Certified,2024-06-15
42,Certified,2024-11-15
43,Pending,2024-01-15
43,Certified,2024-06-15
44,Certified,2024-01-15
44,Non-Certified,2024-06-15
44,Certified,2024-11-15
45,Non-Certified,2024-01-15
45,Pending,2024-06-15
45,Certified,2024-11-15
46,Pending,2024-01-15
46,Certified,2024-06-15
47,Pending,2024-01-15
47,Certified,2024-06-15
48,Non-Certified,2024-01-15
48,Pending,2024-06-15
48,Certified,2024-11-15
49,Pending,2024-01-15
49,Certified,2024-06-15
50,Non-Certified,2024-01-15
50,Pending,2024-06-15
50,Certified,2024-11-15
51,Pending,2024-02-01
51,Certified,2024-07-01
52,Pending,2024-02-01
52,Certified,2024-07-01
53,Pending,2024-02-01
53,Certified,2024-07-01
54,Certified,2024-02-01
54,Non-Certified,2024-07-01
54,Certified,2024-12-01
55,Certified,2024-02-01
55,Non-Certified,2024-07-01
55,Certified,2024-12-01
56,Certified,2024-02-01
56,Non-Certified,2024-07-01
56,Certified,2024-12-01
57,Certified,2024-02-01
57,Non-Certified,2024-07-01
57,Certified,2024-12-01
58,Pending,2024-02-01
58,Certified,2024-07-01
59,Pending,2024-02-01
59,Certified,2024-07-01
60,Pending,2024-02-01
60,Certified,2024-07-01
61,Non-Certified,2024-02-01
61,Pending,2024-07-01
61,Certified,2024-12-01
62,Certified,2024-02-01
62,Non-Certified,2024-07-01
62,Certified,2024-12-01
63,Certified,2024-02-01
63,Non-Certified,2024-07-01
63,Certified,2024-12-01
64,Non-Certified,2024-02-01
64,Pending,2024-07-01
64,Certified,2024-12-01
65,Non-Certified,2024-02-01
65,Pending,2024-07-01
65,Certified,2024-12-01
66,Pending,2024-02-01
66,Certified,2024-07-01
67,Pending,2024-02-01
67,Certified,2024-07-01
68,Non-Certified,2024-02-01
68,Pending,2024-07-01
68,Certified,2024-12-01
69,Pending,2024-02-01
69,Certified,2024-07-01
70,Certified,2024-02-01
70,Non-Certified,2024-07-01
70,Certified,2024-12-01
71,Certified,2024-02-01
71,Non-Certified,2024-07-01
71,Certified,2024-12-01
72,Pending,2024-02-01
72,Certified,2024-07-01
73,Non-Certified,2024-02-01
73,Pending,2024-07-01
73,Certified,2024-12-01
74,Certified,2024-02-01
74,Non-Certified,2024-07-01
74,Certified,2024-12-01
75,Certified,2024-02-01
75,Non-Certified,2024-07-01
75,Certified,2024-12-01
76,Non-Certified,2024-02-01
76,Pending,2024-07-01
76,Certified,2024-12-01
77,Non-Certified,2024-02-01
77,Pending,2024-07-01
77,Certified,2024-12-01
78,Certified,2024-02-01
78,Non-Certified,2024-07-01
78,Certified,2024-12-01
79,Pending,2024-02-01
79,Certified,2024-07-01
80,Pending,2024-02-01
80,Certified,2024-07-01
81,Certified,2024-02-01
81,Non-Certified,2024-07-01
81,Certified,2024-12-01
82,Certified,2024-02-01
82,Non-Certified,2024-07-01
82,Certified,2024-12-01
83,Pending,2024-02-01
83,Certified,2024-07-01
84,Non-Certified,2024-02-01
84,Pending,2024-07-01
84,Certified,2024-12-01
85,Certified,2024-02-01
85,Non-Certified,2024-07-01
85,Certified,2024-12-01
86,Non-Certified,2024-02-01
86,Pending,2024-07-01
86,Certified,2024-12-01
87,Non-Certified,2024-02-01
87,Pending,2024-07-01
87,Certified,2024-12-01
88,Pending,2024-02-01
88,Certified,2024-07-01
89,Non-Certified,2024-02-01
89,Pending,2024-07-01
89,Certified,2024-12-01
90,Non-Certified,2024-02-01
90,Pending,2024-07-01
90,Certified,2024-12-01
91,Pending,2024-02-01
91,Certified,2024-07-01
92,Non-Certified,2024-02-01
92,Pending,2024-07-01
92,Certified,2024-12-01
93,Pending,2024-02-01
93,Certified,2024-07-01
94,Pending,2024-02-01
94,Certified,2024-07-01
95,Certified,2024-02-01
95,Non-Certified,2024-07-01
95,Certified,2024-12-01
96,Certified,2024-02-01
96,Non-Certified,2024-07-01
96,Certified,2024-12-01
97,Certified,2024-02-01
97,Non-Certified,2024-07-01
97,Certified,2024-12-01
98,Certified,2024-02-01
98,Non-Certified,2024-07-01
98,Certified,2024-12-01
99,Non-Certified,2024-02-01
99,Pending,2024-07-01
99,Certified,2024-12-01
100,Certified,2024-02-01
100,Non-Certified,2024-07-01
100,Certified,2024-12-01
