PaymentID,OrderID,PaymentDate,Amount,PaymentMethod,PaymentStatus
1,1,2024-05-15,734.78,Cash,Pending
2,2,2024-10-12,606.65,Credit,Paid
3,3,2024-05-03,1120.05,Credit,Paid
4,4,2024-12-22,1295.25,Cash,Pending
5,5,2024-08-17,1064.82,Bank Transfer,Paid
6,6,2024-07-29,30.03,Cash,Pending
7,7,2024-09-02,528.99,Bank Transfer,Pending
8,8,2024-10-09,1108.5,Credit,Pending
9,9,2024-05-21,132.16,Bank Transfer,Paid
10,10,2024-04-08,707.47,Credit,Paid
11,11,2024-04-08,355.86,Cash,Pending
12,12,2024-10-31,1873.04,Cash,Pending
13,13,2024-02-21,1566.24,Cash,Pending
14,14,2024-04-02,573.88,Cash,Paid
15,15,2024-05-21,1578.43,Cash,Pending
16,16,2024-12-24,1663.52,Credit,Paid
17,17,2024-01-09,1079.56,Bank Transfer,Pending
18,18,2024-08-15,816.1,Cash,Pending
19,19,2024-09-04,431.1,Cash,Pending
20,20,2024-02-07,959.58,Credit,Paid
21,21,2024-03-20,84.24,Credit,Paid
22,22,2024-05-09,125.08,Cash,Paid
23,23,2024-09-26,1237.72,Credit,Pending
24,24,2024-10-28,565.67,Credit,Paid
25,25,2024-11-11,337.01,Cash,Paid
26,26,2024-05-15,717.03,Cash,Paid
27,27,2024-03-30,1031.87,Credit,Paid
28,28,2024-07-28,1271.81,Credit,Pending
29,29,2024-06-01,621.18,Cash,Pending
30,30,2024-12-26,922.9399999999999,Cash,Paid
31,31,2024-05-16,1406.4,Cash,Paid
32,32,2024-08-08,243.78,Credit,Paid
33,33,2024-05-17,696.46,Bank Transfer,Paid
34,34,2024-06-08,1050.24,Bank Transfer,Pending
35,35,2024-08-14,138.0,Cash,Pending
36,36,2024-12-24,649.02,Credit,Pending
37,37,2024-08-15,68.62,Bank Transfer,Pending
38,38,2024-06-15,482.98,Credit,Paid
39,39,2024-04-30,1239.39,Credit,Paid
40,40,2024-12-10,397.64,Bank Transfer,Paid
41,41,2024-08-29,563.04,Bank Transfer,Pending
42,42,2024-04-05,1134.6399999999999,Cash,Pending
43,43,2024-02-18,1182.0900000000001,Cash,Pending
44,44,2024-06-16,493.91999999999996,Cash,Pending
45,45,2024-08-01,783.33,Cash,Pending
46,46,2024-10-11,1500.17,Cash,Pending
47,47,2024-05-09,1598.83,Bank Transfer,Paid
48,48,2024-12-03,1440.37,Bank Transfer,Paid
49,49,2024-04-08,1126.0,Credit,Pending
50,50,2024-11-18,1469.8799999999999,Credit,Paid
51,51,2024-05-19,197.4,Credit,Pending
52,52,2024-12-24,321.3,Cash,Paid
53,53,2024-12-30,639.23,Cash,Paid
54,54,2024-10-11,645.24,Bank Transfer,Paid
55,55,2024-08-26,244.76,Cash,Pending
56,56,2024-05-31,463.15,Bank Transfer,Pending
57,57,2024-09-05,1291.3,Credit,Paid
58,58,2024-07-15,1449.46,Cash,Paid
59,59,2024-02-07,424.38,Cash,Pending
