OrderID	FarmerID	RetailerID	OrderDate	TotalAmount	Status	PaymentStatus
1	44	72	2024-05-12	734.78	Delivered	Pending
2	2	133	2024-10-11	606.65	Placed	Paid
3	93	105	2024-05-03	1120.05	Shipped	Paid
4	61	166	2024-12-19	1295.25	Delivered	Pending
5	3	24	2024-08-17	1064.82	Shipped	Paid
6	89	63	2024-07-26	30.03	Shipped	Pending
7	71	136	2024-08-30	528.99	Shipped	Pending
8	43	91	2024-10-08	1108.5	Delivered	Pending
9	40	65	2024-05-18	132.16	Placed	Paid
10	41	31	2024-04-08	707.47	Delivered	Paid
11	28	190	2024-04-08	355.86	Shipped	Pending
12	98	135	2024-10-28	1873.04	Delivered	Pending
13	25	76	2024-02-21	1566.24	Placed	Pending
14	39	4	2024-04-01	573.88	Delivered	Paid
15	6	14	2024-05-20	1578.43	Delivered	Pending
16	17	164	2024-12-23	1663.52	Shipped	Paid
17	74	73	2024-01-07	1079.56	Shipped	Pending
18	44	48	2024-08-13	816.1	Placed	Pending
19	15	17	2024-09-01	431.1	Shipped	Pending
20	74	162	2024-02-07	959.58	Delivered	Paid
21	20	145	2024-03-18	84.24	Shipped	Paid
22	16	143	2024-05-07	125.08	Shipped	Paid
23	49	116	2024-09-24	1237.72	Shipped	Pending
24	55	79	2024-10-28	565.67	Delivered	Paid
25	95	26	2024-11-08	337.01	Placed	Paid
26	85	21	2024-05-15	717.03	Placed	Paid
27	71	20	2024-03-29	1031.87	Placed	Paid
28	58	177	2024-07-28	1271.81	Delivered	Pending
29	5	60	2024-05-29	621.18	Shipped	Pending
30	59	19	2024-12-25	922.9399999999999	Delivered	Paid
31	81	151	2024-05-15	1406.4	Delivered	Paid
32	15	140	2024-08-05	243.78	Placed	Paid
33	19	19	2024-05-16	696.46	Placed	Paid
34	77	192	2024-06-06	1050.24	Delivered	Pending
35	16	120	2024-08-12	138.0	Delivered	Pending
36	52	70	2024-12-24	649.02	Delivered	Pending
37	11	154	2024-08-12	68.62	Placed	Pending
38	78	65	2024-06-14	482.98	Placed	Paid
39	87	148	2024-04-27	1239.39	Delivered	Paid
40	35	148	2024-12-10	397.64	Placed	Paid
41	67	167	2024-08-28	563.04	Shipped	Pending
42	75	112	2024-04-02	1134.6399999999999	Delivered	Pending
43	61	90	2024-02-16	1182.0900000000001	Shipped	Pending
44	86	27	2024-06-13	493.91999999999996	Placed	Pending
45	89	127	2024-07-29	783.33	Shipped	Pending
46	5	117	2024-10-08	1500.17	Placed	Pending
47	42	30	2024-05-09	1598.83	Shipped	Paid
48	70	119	2024-12-02	1440.37	Shipped	Paid
49	67	93	2024-04-06	1126.0	Delivered	Pending
50	57	195	2024-11-16	1469.8799999999999	Placed	Paid
51	71	34	2024-05-16	197.4	Shipped	Pending
52	63	32	2024-12-23	321.3	Placed	Paid
53	21	80	2024-12-29	639.23	Delivered	Paid
54	53	24	2024-10-09	645.24	Placed	Paid
55	16	166	2024-08-24	244.76	Placed	Pending
56	66	181	2024-05-29	463.15	Shipped	Pending
57	61	63	2024-09-04	1291.3	Shipped	Paid
58	25	154	2024-07-15	1449.46	Delivered	Paid
59	36	198	2024-02-05	424.38	Shipped	Pending
60	35	1	2024-09-16	759.26	Shipped	Pending
61	75	169	2024-10-27	421.3	Shipped	Paid
62	69	124	2024-08-16	1125.44	Shipped	Pending
63	98	140	2024-10-09	789.21	Shipped	Pending
64	25	179	2024-06-13	487.66	Placed	Pending
65	100	106	2024-04-29	787.1500000000001	Placed	Pending
66	91	98	2024-08-30	31.57	Shipped	Paid
67	5	33	2024-09-10	433.65	Delivered	Pending
68	57	26	2024-02-21	1137.15	Delivered	Pending
69	93	37	2024-01-08	1307.67	Shipped	Paid
70	61	68	2024-02-08	2066.43	Shipped	Pending
71	11	85	2024-11-28	1239.44	Delivered	Pending
72	81	184	2024-06-11	783.8499999999999	Shipped	Paid
73	9	61	2024-11-12	1249.6599999999999	Delivered	Pending
74	96	24	2024-04-26	304.92	Shipped	Paid
75	91	26	2024-11-20	1548.34	Shipped	Paid
76	39	8	2024-12-21	635.14	Placed	Pending
77	38	92	2024-01-29	99.99	Shipped	Pending
78	32	136	2024-03-15	1450.7	Shipped	Paid
79	23	21	2024-03-28	1089.76	Delivered	Pending
